canton,address,plz,municipality,egid
OW,Sagenmattli 1,6074,Giswil,272282
OW,Rütibachstrasse 4,6074,Giswil,272532
OW,Hofbachstrasse 6,6074,Giswil,190169455
LU,Reussinsel 59b,6003,Luzern,190120864
LU,Fluhmühle 28,6015,Luzern,209425
LU,Reussportweg 16,6004,Luzern,212166
GL,Schaanenstrasse 3,8750,Glarus,293256
GL,Oberdorfstrasse 34,8750,Glarus,293297
GL,Oberdorfstrasse 18b,8750,Glarus,192055134
UR,Dammstrasse 15,6452,Sisikon,190043664
UR,Dammstrasse 9,6452,Sisikon,235661
UR,Dammstrasse 1,6452,Sisikon,235656
BE,Holzmatt 659,3537,Eggiwil,1417567
BE,Holzmatt 659a,3537,Eggiwil,3070371
BE,Ober Neuhaus 643,3537,Eggiwil,1417571
ZH,Balzenmoosstrasse 8,8542,Wiesendangen,113287
ZH,Bettlistrasse 5,8542,Wiesendangen,113288
ZH,Baumgartenstrasse 34,8330,Pfäffikon,87584
FR,Chürschi 154,1714,Heitenried,1543460
FR,Route du Bugnon 26,1782,Belfaux,1519738
FR,Route du Bugnon 24,1782,Belfaux,1519746
BL,Klosterweg 8,4437,Waldenburg,435856
BL,Klosterweg 12,4437,Waldenburg,435857
BL,Austrasse 4,4437,Waldenburg,435859
BS,St. Alban-Rheinweg 124,4052,Basel,442253
BS,St. Alban-Tal 32,4052,Basel,441024
BS,St. Alban-Tal 44,4052,Basel,441029
SH,Ob den Beggingerreben 589,8226,Schleitheim,2030596
SH,Gennersbrunn 5,8207,Schaffhausen,1613713
SH,Gennersbrunn 4,8207,Schaffhausen,1613714
SG,Hasenbühl 483,8725,Eschenbach (SG),1125577
SG,Benzenau 749,9536,Jonschwil,1053927
SG,Benzenau 769,9536,Jonschwil,1053928
GR,Via Maistra 67,7504,Pontresina,191597113
GR,Il Truoch 23,7504,Pontresina,1192502
GR,Il Truoch 30,7504,Pontresina,1192496
SZ,Milchbüelen 2,6436,Muotathal,190210919
SZ,Hunds-Chotten 3,6418,Rothenthurm,191965954
SZ,Schmalzgruebweg 29,8832,Wollerau,246535
ZG,Neuhofstrasse 38,6345,Neuheim,101231156
ZG,Neuhofstrasse 44,6345,Neuheim,101231153
ZG,Neuhofstrasse 4,6345,Neuheim,11528195
AR,Schutz 799,9056,Gais,496721
AR,Fuchsberg 2375,9056,Gais,192022109
AR,Waldersberg 440,9103,Schwellbrunn,493966
AI,Rainhütten 1,9058,Schwende-Rüte,191254201
AI,Schwarzeneggstrasse 9,9058,Schwende-Rüte,1714120
AI,Schwarzeneggstrasse 7,9058,Schwende-Rüte,1714128
AG,Haldenstrasse 224,5614,Sarmenstorf,560868
AG,Bodenackerstrasse 558,5614,Sarmenstorf,560867
AG,Gartenweg 3,5443,Niederrohrdorf,543466
NE,En Segrin 25,2016,Cortaillod,1464171
NE,Chemin du Potat-Dessus 10,2016,Cortaillod,1464234
NE,En Segrin 18a,2016,Cortaillod,190020918
GE,Rue de Lausanne 192,1202,Genève,1014743
GE,Route du Château-du-Crest 50,1254,Jussy,1018466
GE,Route du Château-du-Crest 40,1254,Jussy,1018464
TI,Monti di Pisciarotto ,6584,Bellinzona,400043656
TI,San Martino 41,6777,Quinto,190174420
TI,San Martino 8,6777,Quinto,400058805
SO,Meltingerberg 53,4233,Meltingen,388439
SO,Ramisgraben 119,4717,Mümliswil-Ramiswil,336628
SO,Schrannenweg 2,5015,Erlinsbach (SO),346367
JU,La Tuilerie 7,2950,Courgenay,190180023
JU,Route du Monterri 22,2950,Courgenay,982396
JU,Route du Monterri 30,2950,Courgenay,982398
VD,Chemin des Châtaigniers 2,1163,Etoy,797150
VD,Chemin de Pra Riondet 2,1163,Etoy,797192
VD,Chemin de la Planche de Ville 3,1535,Valbroye,280081523
TG,Tristen 1,8374,Fischingen,669024
TG,Tristen 2,8374,Fischingen,190227949
TG,Maadstrasse 4,9545,Wängi,2335465
VS,Talstrasse 107,3905,Saas-Almagell,191052251
VS,Talstrasse 103,3905,Saas-Almagell,956527
VS,Kirchstrasse 3,3905,Saas-Almagell,956548
NW,Wissiflue 1,6376,Beckenried,280531
NW,Ruotzen 2,6376,Beckenried,280543
NW,Lanzig 1,6376,Beckenried,280527
