canton,address,plz,municipality,buildingGroundArea_sqm,grossInvest_CHF,subsidies_CHF,netInvest_CHF,paybackTime_years,producedKwhYear_kWh,selfConsumedKwhYear_kWh,selfConsumptionPct_pct,gridFeedinKwhYear_kWh
OW,Rütibachstrasse 4,6074,Giswil,127.56,17100.00,1706.00,12315.20,19.061,5728.19,1127.26,19.679,4600.92
OW,Sagenmattli 1,6074,Giswil,84.66,17500.00,1773.00,12581.60,24.50,4463.15,1046.38,23.44,3416.77
OW,Hofbachstrasse 6,6074,Giswil,110.24,24400.00,2892.00,17206.40,23.78,7279.02,980.04,13.464,6298.98
LU,Reussinsel 59b,6003,Luzern,55.43,16300.00,1568.00,11785.60,25.42,4249.44,849.12,19.982,3400.32
LU,Fluhmühle 28,6015,Luzern,146.40,23900.00,2813.00,16869.60,15.233,9389.60,2000.94,21.31,7388.66
LU,Reussportweg 16,6004,Luzern,201.36,30800.00,4204.00,21276.80,14.818,14749.00,1317.96,8.936,13431.04
GL,Oberdorfstrasse 34,8750,Glarus,161.12,59400.00,11796.00,38083.20,13.239,29198.65,2756.27,9.440,26442.38
GL,Schaanenstrasse 3,8750,Glarus,120.64,17100.00,1697.00,12322.40,22.74,4944.42,949.27,19.199,3995.15
GL,Oberdorfstrasse 18b,8750,Glarus,85.60,29700.00,3902.00,20638.40,18.825,11422.28,1091.96,9.560,10330.32
UR,Dammstrasse 15,6452,Sisikon,182.79,49000.00,9349.00,31720.80,10.884,28790.41,2876.69,9.992,25913.71
UR,Dammstrasse 1,6452,Sisikon,90.96,16900.00,1676.00,12179.20,21.01,5214.38,1016.89,19.502,4197.49
UR,Dammstrasse 9,6452,Sisikon,239.09,47000.00,8791.00,30567.20,10.858,26660.15,3337.63,12.519,23322.52
BE,Holzmatt 659,3537,Eggiwil,456.18,24100.00,2850.00,17000.00,21.47,8027.46,970.09,12.085,7057.38
BE,Holzmatt 659a,3537,Eggiwil,145.12,24100.00,2850.00,17000.00,21.43,8037.78,973.28,12.109,7064.49
BE,Ober Neuhaus 643,3537,Eggiwil,133.41,23700.00,2779.00,16736.80,20.75,8109.63,998.90,12.317,7110.74
ZH,Balzenmoosstrasse 8,8542,Wiesendangen,126.34,44600.00,8104.00,29196.80,11.510,24045.28,3060.03,12.726,20985.25
