canton,municipality,bfs_code
ZH,Stallikon,13
ZH,Affoltern am Albis,2
ZH,Bonstetten,3
ZH,Hausen am Albis,4
ZH,Hedingen,5
ZH,Mettmenstetten,9
ZH,Obfelden,10
ZH,Kappel am Albis,6
ZH,Knonau,7
ZH,Maschwanden,8
ZH,Rifferswil,12
ZH,Ottenbach,11
ZH,Wettswil am Albis,14
ZH,Aeugst am Albis,1
ZH,Zell (ZH),231
ZH,Winterthur,230
ZH,Turbenthal,228
ZH,Brütten,213
ZH,Dinhard,216
ZH,Dägerlen,214
ZH,Dättlikon,215
ZH,Altikon,211
ZH,Hagenbuch,220
ZH,Ellikon an der Thur,218
ZH,Hettlingen,221
ZH,Elsau,219
ZH,Rickenbach (ZH),225
ZH,Seuzach,227
ZH,Pfungen,224
ZH,Schlatt (ZH),226
ZH,Neftenbach,223
ZH,Wiesendangen,298
ZH,Elgg,294
ZH,Volketswil,199
ZH,Uster,198
ZH,Greifensee,194
ZH,Egg,192
ZH,Dübendorf,191
ZH,Fällanden,193
ZH,Mönchaltorf,196
ZH,Maur,195
ZH,Schwerzenbach,197
ZH,Wangen-Brüttisellen,200
ZH,Wila,181
ZH,Wildberg,182
ZH,Weisslingen,180
ZH,Fehraltorf,172
ZH,Hittnau,173
ZH,Lindau,176
ZH,Russikon,178
ZH,Pfäffikon,177
ZH,Bauma,297
ZH,Illnau-Effretikon,296
ZH,Zumikon,160
ZH,Stäfa,158
ZH,Hombrechtikon,153
ZH,Erlenbach (ZH),151
ZH,Herrliberg,152
ZH,Meilen,156
ZH,Oetwil am See,157
ZH,Küsnacht (ZH),154
ZH,Männedorf,155
ZH,Uetikon am See,159
ZH,Zollikon,161
VS,Thalwil,141
VS,Adliswil,131
VS,Oberrieden,137
VS,Langnau am Albis,136
VS,Kilchberg (ZH),135
VS,Rüschlikon,139
VS,Richterswil,138
VS,Horgen,295
VS,Wädenswil,293
ZH,Wetzikon (ZH),121
ZH,Wald (ZH),120
ZH,Bubikon,112
ZH,Bäretswil,111
ZH,Grüningen,116
ZH,Fischenthal,114
ZH,Gossau (ZH),115
ZH,Hinwil,117
ZH,Dürnten,113
ZH,Rüti (ZH),118
ZH,Seegräben,119
ZH,Stadel,100
ZH,Weiach,102
ZH,Steinmaur,101
ZH,Buchs (ZH),83
ZH,Dielsdorf,86
ZH,Dällikon,84
ZH,Dänikon,85
ZH,Bachs,81
ZH,Boppelsen,82
ZH,Hüttikon,87
ZH,Oberweningen,93
ZH,Oberglatt,92
ZH,Niederglatt,89
ZH,Neerach,88
ZH,Niederhasli,90
ZH,Niederweningen,91
ZH,Rümlang,97
ZH,Schöfflisdorf,99
ZH,Schleinikon,98
ZH,Otelfingen,94
ZH,Regensberg,95
ZH,Regensdorf,96
ZH,Wil (ZH),71
ZH,Winkel,72
ZH,Wasterkingen,70
ZH,Wallisellen,69
ZH,Bülach,53
ZH,Dietlikon,54
ZH,Bachenbülach,51
ZH,Bassersdorf,52
ZH,Freienstein-Teufen,57
ZH,Glattfelden,58
ZH,Hochfelden,59
ZH,Eglisau,55
ZH,Hüntwangen,61
ZH,Höri,60
ZH,Embrach,56
ZH,Opfikon,66
ZH,Oberembrach,65
ZH,Lufingen,63
ZH,Rorbas,68
ZH,Rafz,67
ZH,Kloten,62
ZH,Nürensdorf,64
ZH,Volken,43
ZH,Thalheim an der Thur,39
ZH,Trüllikon,40
ZH,Truttikon,41
ZH,Dachsen,25
ZH,Berg am Irchel,23
ZH,Benken (ZH),22
ZH,Flurlingen,29
ZH,Feuerthalen,27
ZH,Flaach,28
ZH,Dorf,26
ZH,Henggart,31
ZH,Laufen-Uhwiesen,34
ZH,Kleinandelfingen,33
ZH,Marthalen,35
ZH,Rheinau,38
ZH,Ossingen,37
ZH,Buch am Irchel,24
ZH,Stammheim,292
ZH,Andelfingen,291
ZH,Zürich,261
ZH,Birmensdorf (ZH),242
ZH,Dietikon,243
ZH,Geroldswil,244
ZH,Oberengstringen,245
ZH,Oetwil an der Limmat,246
ZH,Schlieren,247
ZH,Uitikon,248
ZH,Unterengstringen,249
ZH,Urdorf,250
ZH,Weiningen (ZH),251
ZH,Aesch (ZH),241
BE,Corgémont,431
BE,Cormoret,432
BE,Cortébert,433
BE,Courtelary,434
BE,La Ferrière,435
BE,Mont-Tramelan,437
BE,Orvin,438
BE,Renan (BE),441
BE,Romont (BE),442
BE,Saint-Imier,443
BE,Sonceboz-Sombeval,444
BE,Sonvilier,445
BE,Tramelan,446
BE,Villeret,448
BE,Belprahon,681
BE,Champoz,683
BE,Corcelles (BE),687
BE,Court,690
BE,Crémines,691
BE,Eschert,692
BE,Grandval,694
BE,Loveresse,696
BE,Perrefitte,701
BE,Reconvilier,703
BE,Roches (BE),704
BE,Saicourt,706
BE,Saules (BE),707
BE,Schelten,708
BE,Seehof,709
BE,Sorvilier,711
BE,Tavannes,713
BE,Rebévelier,715
BE,La Neuveville,723
BE,Nods,724
BE,Sauge,449
BE,Plateau de Diesse,726
BE,Péry-La Heutte,450
BE,Valbirse,717
BE,Petit-Val,716
BE,Twann-Tüscherz,756
BE,Biel/Bienne,371
BE,Evilard,372
BE,Lengnau (BE),387
BE,Meinisberg,390
BE,Pieterlen,392
BE,Aegerten,731
BE,Bellmund,732
BE,Brügg,733
BE,Ipsach,739
BE,Ligerz,740
BE,Mörigen,742
BE,Nidau,743
BE,Orpund,744
BE,Port,745
BE,Safnern,746
BE,Scheuren,747
BE,Schwadernau,748
BE,Sutz-Lattrigen,750
BE,Aarberg,301
BE,Bargen (BE),302
BE,Grossaffoltern,303
BE,Kappelen,305
BE,Radelfingen,309
BE,Schüpfen,311
BE,Seedorf (BE),312
BE,Arch,381
BE,Büetigen,382
BE,Büren an der Aare,383
BE,Diessbach bei Büren,385
BE,Dotzigen,386
BE,Leuzigen,388
BE,Meienried,389
BE,Oberwil bei Büren,391
BE,Rüti bei Büren,393
BE,Wengi,394
BE,Brüttelen,491
BE,Erlach,492
BE,Finsterhennen,493
BE,Gals,494
BE,Gampelen,495
BE,Ins,496
BE,Lüscherz,497
BE,Müntschemier,498
BE,Siselen,499
BE,Treiten,500
BE,Tschugg,501
BE,Vinelz,502
BE,Bühl,734
BE,Epsach,735
BE,Hagneck,736
BE,Hermrigen,737
BE,Jens,738
BE,Merzligen,741
BE,Studen (BE),749
BE,Täuffelen,751
BE,Walperswil,754
BE,Worben,755
BE,Lyss,306
BE,Rapperswil (BE),310
BE,Kallnach,304
BE,Aarwangen,321
BE,Auswil,322
BE,Bannwil,323
BE,Bleienbach,324
BE,Busswil bei Melchnau,325
BE,Gondiswil,326
BE,Lotzwil,331
BE,Melchnau,333
BE,Oeschenbach,335
BE,Reisiswil,336
BE,Roggwil (BE),337
BE,Rohrbach,338
BE,Rohrbachgraben,339
BE,Rütschelen,340
BE,Schwarzhäusern,341
BE,Thunstetten,342
BE,Ursenbach,344
BE,Wynau,345
BE,Eriswil,953
BE,Huttwil,954
BE,Walterswil (BE),959
BE,Wyssachen,960
BE,Attiswil,971
BE,Berken,972
BE,Farnern,975
BE,Graben,976
BE,Heimenhausen,977
BE,Herzogenbuchsee,979
BE,Inkwil,980
BE,Niederönz,982
BE,Oberbipp,983
BE,Ochlenberg,985
BE,Rumisberg,987
BE,Thörigen,989
BE,Walliswil bei Niederbipp,990
BE,Walliswil bei Wangen,991
BE,Wiedlisbach,995
BE,Madiswil,332
BE,Bettenhausen,973
BE,Seeberg,988
BE,Niederbipp,981
BE,Langenthal,329
BE,Wangen an der Aare,992
BE,Aefligen,401
BE,Alchenstorf,402
BE,Burgdorf,404
BE,Hasle bei Burgdorf,406
BE,Heimiswil,407
BE,Hellsau,408
BE,Höchstetten,410
BE,Kernenried,411
BE,Kirchberg (BE),412
BE,Koppigen,413
BE,Krauchthal,414
BE,Lyssach,415
BE,Oberburg,418
BE,Rüdtligen-Alchenflüh,420
BE,Rumendingen,421
BE,Rüti bei Lyssach,422
BE,Willadingen,423
BE,Wynigen,424
BE,Bätterkinden,533
BE,Utzenstorf,552
BE,Wiler bei Utzenstorf,554
BE,Zielebach,556
BE,Eggiwil,901
BE,Langnau im Emmental,902
BE,Lauperswil,903
BE,Röthenbach im Emmental,904
BE,Rüderswil,905
BE,Schangnau,906
BE,Signau,907
BE,Trub,908
BE,Trubschachen,909
BE,Affoltern im Emmental,951
BE,Dürrenroth,952
BE,Lützelflüh,955
BE,Rüegsau,956
BE,Sumiswald,957
BE,Trachselwald,958
BE,Ersigen,405
BE,Hindelbank,409
BE,Meikirch,307
BE,Bern,351
BE,Bolligen,352
BE,Bremgarten bei Bern,353
BE,Kirchlindach,354
BE,Köniz,355
BE,Muri bei Bern,356
BE,Oberbalm,357
BE,Stettlen,358
BE,Vechigen,359
BE,Wohlen bei Bern,360
BE,Zollikofen,361
BE,Ittigen,362
BE,Ostermundigen,363
BE,Bäriswil,403
BE,Deisswil bei Münchenbuchsee,535
BE,Iffwil,541
BE,Mattstetten,543
BE,Moosseedorf,544
BE,Urtenen-Schönbühl,551
BE,Wiggiswil,553
BE,Zuzwil (BE),557
BE,Arni (BE),602
BE,Biglen,603
BE,Bowil,605
BE,Brenzikofen,606
BE,Freimettigen,607
BE,Häutligen,609
BE,Herbligen,610
BE,Kiesen,611
BE,Konolfingen,612
BE,Landiswil,613
BE,Linden,614
BE,Mirchel,615
BE,Niederhünigen,617
BE,Oberthal,620
BE,Oppligen,622
BE,Rubigen,623
BE,Walkringen,626
BE,Worb,627
BE,Zäziwil,628
BE,Oberhünigen,629
BE,Allmendingen,630
BE,Wichtrach,632
BE,Ferenbalm,662
BE,Frauenkappelen,663
BE,Gurbrü,665
BE,Kriechenwil,666
BE,Laupen,667
BE,Mühleberg,668
BE,Münchenwiler,669
BE,Neuenegg,670
BE,Wileroltigen,671
BE,Guggisberg,852
BE,Rüschegg,853
BE,Gerzensee,866
BE,Jaberg,868
BE,Kaufdorf,869
BE,Kehrsatz,870
BE,Niedermuhlern,877
BE,Rüeggisberg,880
BE,Toffen,884
BE,Wald (BE),888
BE,Schwarzenburg,855
BE,Belp,861
BE,Fraubrunnen,538
BE,Jegenstorf,540
BE,Oberdiessbach,619
BE,Münsingen,616
BE,Grosshöchstetten,608
BE,Kirchdorf (BE),872
BE,Thurnen,889
BE,Riggisberg,879
BE,Münchenbuchsee,546
BE,Burgistein,863
BE,Gurzelen,867
BE,Seftigen,883
BE,Wattenwil,886
BE,Amsoldingen,921
BE,Blumenstein,922
BE,Buchholterberg,923
BE,Eriz,924
BE,Fahrni,925
BE,Heiligenschwendi,927
BE,Heimberg,928
BE,Hilterfingen,929
BE,Homberg,931
BE,Horrenbach-Buchen,932
BE,Oberhofen am Thunersee,934
BE,Oberlangenegg,935
BE,Pohlern,936
BE,Sigriswil,938
BE,Teuffenthal (BE),940
BE,Thierachern,941
BE,Thun,942
BE,Uebeschi,943
BE,Uetendorf,944
BE,Unterlangenegg,945
BE,Wachseldorn,946
BE,Forst-Längenbühl,948
BE,Stocken-Höfen,770
BE,Uttigen,885
BE,Steffisburg,939
BE,Reutigen,767
BE,Boltigen,791
BE,Lenk,792
BE,St. Stephan,793
BE,Zweisimmen,794
BE,Gsteig,841
BE,Lauenen,842
BE,Saanen,843
BE,Adelboden,561
BE,Aeschi bei Spiez,562
BE,Frutigen,563
BE,Kandergrund,564
BE,Kandersteg,565
BE,Krattigen,566
BE,Reichenbach im Kandertal,567
BE,Därstetten,761
BE,Diemtigen,762
BE,Erlenbach im Simmental,763
BE,Oberwil im Simmental,766
BE,Spiez,768
BE,Wimmis,769
BE,Beatenberg,571
BE,Bönigen,572
BE,Brienz (BE),573
BE,Brienzwiler,574
BE,Därligen,575
BE,Grindelwald,576
BE,Gsteigwiler,577
BE,Gündlischwand,578
BE,Habkern,579
BE,Hofstetten bei Brienz,580
BE,Interlaken,581
BE,Iseltwald,582
BE,Lauterbrunnen,584
BE,Leissigen,585
BE,Lütschental,586
BE,Matten bei Interlaken,587
BE,Niederried bei Interlaken,588
BE,Oberried am Brienzersee,589
BE,Ringgenberg (BE),590
BE,Saxeten,591
BE,Schwanden bei Brienz,592
BE,Unterseen,593
BE,Wilderswil,594
BE,Guttannen,782
BE,Hasliberg,783
BE,Meiringen,785
BE,Schattenhalb,786
BE,Innertkirchen,784
LU,Luzern,1061
LU,Vitznau,1068
LU,Weggis,1069
LU,Udligenswil,1067
LU,Buchrain,1052
LU,Dierikon,1053
LU,Adligenswil,1051
LU,Gisikon,1055
LU,Greppen,1056
LU,Ebikon,1054
LU,Horw,1058
LU,Meierskappel,1064
LU,Meggen,1063
LU,Kriens,1059
LU,Malters,1062
LU,Schwarzenberg,1066
LU,Root,1065
LU,Ballwil,1023
LU,Aesch (LU),1021
LU,Hochdorf,1031
LU,Eschenbach (LU),1026
LU,Emmen,1024
LU,Ermensee,1025
LU,Inwil,1033
LU,Rothenburg,1040
LU,Schongau,1041
LU,Rain,1037
LU,Römerswil,1039
LU,Hohenrain,1032
LU,Hitzkirch,1030
AG,Rickenbach (LU),1097
AG,Sursee,1103
AG,Buttisholz,1083
AG,Büron,1082
AG,Grosswangen,1086
AG,Geuensee,1085
AG,Eich,1084
AG,Hildisrieden,1088
AG,Oberkirch,1095
AG,Neuenkirch,1093
AG,Nottwil,1094
AG,Mauensee,1091
AG,Knutwil,1089
AG,Ruswil,1098
AG,Sempach,1102
AG,Schlierbach,1100
AG,Triengen,1104
AG,Beromünster,1081
AG,Schenkon,1099
LU,Schötz,1143
LU,Wikon,1147
LU,Zell (LU),1150
LU,Wauwil,1146
LU,Ufhusen,1145
LU,Alberswil,1121
LU,Altbüron,1122
LU,Grossdietwil,1131
LU,Fischbach,1129
LU,Egolzwil,1127
LU,Hergiswil bei Willisau,1132
LU,Menznau,1136
LU,Nebikon,1137
LU,Luthern,1135
LU,Roggliswil,1142
LU,Pfaffnau,1139
LU,Dagmersellen,1125
LU,Ettiswil,1128
LU,Reiden,1140
LU,Altishofen,1123
LU,Willisau,1151
AG,Escholzmatt-Marbach,1010
AG,Werthenstein,1009
AG,Wolhusen,1107
AG,Flühli,1004
AG,Hasle (LU),1005
AG,Doppleschwand,1001
AG,Entlebuch,1002
AG,Romoos,1007
AG,Schüpfheim,1008
UR,Spiringen,1218
UR,Wassen,1220
UR,Unterschächen,1219
UR,Bürglen (UR),1205
UR,Attinghausen,1203
UR,Altdorf (UR),1201
UR,Andermatt,1202
UR,Flüelen,1207
UR,Gurtnellen,1209
UR,Göschenen,1208
UR,Hospental,1210
UR,Erstfeld,1206
UR,Isenthal,1211
UR,Seelisberg,1215
UR,Sisikon,1217
UR,Silenen,1216
UR,Schattdorf,1213
UR,Realp,1212
UR,Seedorf (UR),1214
SZ,Wollerau,1323
SZ,Freienbach,1322
SZ,Feusisberg,1321
SZ,Gersau,1311
SZ,Einsiedeln,1301
SZ,Steinerberg,1374
SZ,Steinen,1373
SZ,Unteriberg,1375
SZ,Arth,1362
SZ,Alpthal,1361
SZ,Illgau,1363
SZ,Muotathal,1367
SZ,Morschach,1366
SZ,Oberiberg,1368
SZ,Lauerz,1365
SZ,Ingenbohl,1364
SZ,Rothenthurm,1370
SZ,Riemenstalden,1369
SZ,Schwyz,1372
SZ,Sattel,1371
SZ,Vorderthal,1348
SZ,Wangen (SZ),1349
SZ,Tuggen,1347
SZ,Altendorf,1341
SZ,Galgenen,1342
SZ,Lachen,1344
SZ,Innerthal,1343
SZ,Schübelbach,1346
SZ,Reichenburg,1345
SZ,Küssnacht (SZ),1331
OW,Alpnach,1401
OW,Giswil,1403
OW,Engelberg,1402
OW,Kerns,1404
OW,Lungern,1405
OW,Sachseln,1406
OW,Sarnen,1407
NW,Wolfenschiessen,1511
NW,Stans,1509
NW,Stansstad,1510
NW,Buochs,1502
NW,Dallenwil,1503
NW,Beckenried,1501
NW,Ennetmoos,1506
NW,Ennetbürgen,1505
NW,Emmetten,1504
NW,Hergiswil (NW),1507
NW,Oberdorf (NW),1508
GL,Glarus Süd,1631
GL,Glarus Nord,1630
GL,Glarus,1632
ZG,Zug,1711
ZG,Walchwil,1710
ZG,Steinhausen,1708
ZG,Unterägeri,1709
ZG,Cham,1702
ZG,Baar,1701
ZG,Hünenberg,1703
ZG,Menzingen,1704
ZG,Neuheim,1705
ZG,Oberägeri,1706
ZG,Risch,1707
FR,Châtel-Saint-Denis,2325
FR,Attalens,2321
FR,Bossonnens,2323
FR,Granges (Veveyse),2328
FR,Remaufens,2333
FR,Semsales,2336
FR,Le Flon,2337
FR,La Verrerie,2338
FR,Saint-Martin (FR),2335
FR,St. Silvester,2303
FR,St. Ursen,2304
FR,Tentlingen,2307
FR,Ueberstorf,2308
FR,Brünisried,2292
FR,Giffers,2294
FR,Düdingen,2293
FR,Heitenried,2296
FR,Schmitten (FR),2305
FR,Rechthalten,2301
FR,Bösingen,2295
FR,Plasselb,2300
FR,Wünnewil-Flamatt,2309
FR,Plaffeien,2299
FR,Tafers,2306
FR,Cressier (FR),2257
FR,Courgevaux,2250
FR,Fräschels,2258
FR,Greng,2261
FR,Muntelier,2274
FR,Meyriez,2271
FR,Kerzers,2265
FR,Kleinbösingen,2266
FR,Misery-Courtion,2272
FR,Ried bei Kerzers,2276
FR,Mont-Vully,2284
FR,Courtepin,2254
FR,Murten,2275
FR,Gurmels,2262
FR,Villars-sur-Glâne,2228
FR,Villarsel-sur-Marly,2230
FR,Treyvaux,2226
FR,Chénens,2177
FR,Cottens (FR),2186
FR,Autigny,2173
FR,Fribourg,2196
FR,Ferpicloz,2194
FR,Givisiez,2197
FR,Granges-Paccot,2198
FR,Neyruz (FR),2211
FR,Matran,2208
FR,Pierrafortscha,2216
FR,Marly,2206
FR,La Brillaz,2234
FR,Hauterive (FR),2233
FR,Avry,2174
FR,Le Mouret,2220
FR,La Sonnaz,2235
FR,Belfaux,2175
FR,Gibloux,2236
FR,Corminboeuf,2183
FR,Prez,2237
FR,Bois-d'Amont,2238
FR,Grolley-Ponthaux,2239
FR,Vuadens,2160
FR,Sorens,2153
FR,Vaulruz,2155
FR,Châtel-sur-Montsalvens,2128
FR,Crésuz,2130
FR,Broc,2124
FR,Gruyères,2135
FR,Grandvillard,2134
FR,Echarlens,2131
FR,Hauteville,2137
FR,Morlon,2143
FR,La Roche,2149
FR,Le Pâquier (FR),2145
FR,Jaun,2138
FR,Riaz,2148
FR,Pont-la-Ville,2147
FR,Marsens,2140
FR,Sâles,2152
FR,Haut-Intyamon,2121
FR,Pont-en-Ogoz,2122
FR,Bas-Intyamon,2162
FR,Bulle,2125
FR,Botterens,2123
FR,Corbières,2129
FR,Val-de-Charmey,2163
FR,Châtonnaye,2068
FR,Grangettes,2079
FR,Le Châtelard,2067
FR,Massonnens,2086
FR,Romont (FR),2096
FR,Billens-Hennens,2063
FR,Villorsonnens,2114
FR,Mézières (FR),2087
FR,Siviriez,2099
FR,Torny,2115
FR,Vuisternens-devant-Romont,2113
FR,Villaz,2117
FR,Rue,2097
FR,Ursy,2102
FR,Vallon,2045
FR,Châtillon (FR),2008
FR,Gletterens,2022
FR,Nuvilly,2035
FR,Sévaz,2043
FR,Prévondavaux,2038
FR,Saint-Aubin (FR),2041
FR,Les Montets,2050
FR,Montagny (FR),2029
FR,Cugy (FR),2011
FR,Delley-Portalban,2051
FR,Lully (FR),2025
FR,Belmont-Broye,2053
FR,Estavayer,2054
FR,Cheyres-Châbles,2055
FR,Surpierre,2044
FR,Fétigny-Ménières,2056
SO,Winznau,2501
SO,Wisen (SO),2502
SO,Trimbach,2500
SO,Hauenstein-Ifenthal,2491
SO,Obergösgen,2497
SO,Niedergösgen,2495
SO,Kienberg,2492
SO,Lostorf,2493
SO,Erlinsbach (SO),2503
SO,Stüsslingen,2499
SO,Zullwil,2622
SO,Büsserach,2614
SO,Bärschwil,2611
SO,Breitenbach,2613
SO,Beinwil (SO),2612
SO,Fehren,2616
SO,Grindel,2617
SO,Himmelried,2618
SO,Erschwil,2615
SO,Meltingen,2620
SO,Nunningen,2621
SO,Kleinlützel,2619
SO,Solothurn,2601
SO,Balm bei Günsberg,2541
SO,Bellach,2542
SO,Bettlach,2543
SO,Günsberg,2547
SO,Flumenthal,2545
SO,Feldbrunnen-St. Niklaus,2544
SO,Grenchen,2546
SO,Hubersdorf,2548
SO,Oberdorf (SO),2553
SO,Langendorf,2550
SO,Kammersrohr,2549
SO,Lommiswil,2551
SO,Rüttenen,2555
SO,Selzach,2556
SO,Riedholz,2554
SO,Witterswil,2481
SO,Büren (SO),2472
SO,Bättwil,2471
SO,Gempen,2474
SO,Hochwald,2475
SO,Dornach,2473
SO,Nuglar-St. Pantaleon,2478
SO,Rodersdorf,2479
SO,Seewen,2480
SO,Hofstetten-Flüh,2476
SO,Metzerlen-Mariastein,2477
SO,Unterramsern,2463
SO,Biezwil,2445
SO,Schnottwil,2461
SO,Lüterkofen-Ichertswil,2455
SO,Messen,2457
SO,Lüsslingen-Nennigkofen,2464
SO,Buchegg,2465
SO,Walterswil (SO),2585
SO,Wangen bei Olten,2586
SO,Starrkirch-Wil,2584
SO,Däniken,2572
SO,Boningen,2571
SO,Gunzgen,2578
SO,Hägendorf,2579
SO,Fulenbach,2575
SO,Dulliken,2573
SO,Eppenberg-Wöschnau,2574
SO,Olten,2581
SO,Kappel (SO),2580
SO,Rickenbach (SO),2582
SO,Schönenwerd,2583
SO,Gretzenbach,2576
SO,Egerkingen,2401
SO,Härkingen,2402
SO,Kestenholz,2403
SO,Niederbuchsiten,2405
SO,Oensingen,2407
SO,Wolfwil,2408
SO,Oberbuchsiten,2406
SO,Neuendorf,2404
SO,Aedermannsdorf,2421
SO,Balsthal,2422
SO,Herbetswil,2424
SO,Holderbank (SO),2425
SO,Laupersdorf,2426
SO,Matzendorf,2427
SO,Mümliswil-Ramiswil,2428
SO,Welschenrohr-Gänsbrunnen,2430
SO,Biberist,2513
SO,Bolken,2514
SO,Deitingen,2516
SO,Derendingen,2517
SO,Etziken,2518
SO,Gerlafingen,2519
SO,Horriwil,2523
SO,Hüniken,2524
SO,Luterbach,2527
SO,Obergerlafingen,2528
SO,Recherswil,2530
SO,Subingen,2532
SO,Zuchwil,2534
SO,Lohn-Ammannsegg,2526
SO,Aeschi (SO),2511
SO,Drei Höfe,2535
SO,Kriegstetten,2525
BS,Basel,2701
BS,Bettingen,2702
BS,Riehen,2703
BL,Aesch (BL),2761
BL,Allschwil,2762
BL,Arlesheim,2763
BL,Biel-Benken,2764
BL,Binningen,2765
BL,Birsfelden,2766
BL,Bottmingen,2767
BL,Ettingen,2768
BL,Münchenstein,2769
BL,Muttenz,2770
BL,Oberwil (BL),2771
BL,Pfeffingen,2772
BL,Reinach (BL),2773
BL,Schönenbuch,2774
BL,Therwil,2775
BL,Blauen,2781
BL,Brislach,2782
BL,Burg im Leimental,2783
BL,Dittingen,2784
BL,Duggingen,2785
BL,Grellingen,2786
BL,Laufen,2787
BL,Liesberg,2788
BL,Nenzlingen,2789
BL,Roggenburg,2790
BL,Röschenz,2791
BL,Wahlen,2792
BL,Zwingen,2793
BL,Arisdorf,2821
BL,Augst,2822
BL,Bubendorf,2823
BL,Frenkendorf,2824
BL,Füllinsdorf,2825
BL,Giebenach,2826
BL,Hersberg,2827
BL,Lausen,2828
BL,Liestal,2829
BL,Lupsingen,2830
BL,Pratteln,2831
BL,Ramlinsburg,2832
BL,Seltisberg,2833
BL,Ziefen,2834
BL,Anwil,2841
BL,Böckten,2842
BL,Buckten,2843
