canton,municipality,bfs_code,address,plz,egid
ZH,Schwerzenbach,197,Guntenbachstrasse 21,8603,99136
ZH,Schwerzenbach,197,Eichstrasse 5,8603,99086
ZH,Schwerzenbach,197,Zielackerstrasse 8,8603,98971
ZH,Schwerzenbach,197,Zielackerstrasse 12,8603,98978
ZH,Schwerzenbach,197,Zielackerstrasse 5c,8603,3025152
ZH,Schwerzenbach,197,Zielackerstrasse 7a,8603,98970
ZH,Schwerzenbach,197,Zielackerstrasse 14,8603,98961
ZH,Schwerzenbach,197,Zielackerstrasse 5b,8603,3025151
ZH,Schwerzenbach,197,Zielackerstrasse 1e,8603,3025155
ZH,Schwerzenbach,197,Zielackerstrasse 5a,8603,3025150
ZH,Egg,192,Balmholz 3,8132,94637
ZH,Egg,192,Sunnenberg 5,8132,94656
ZH,Egg,192,Inner-Vollikon 10,8132,94670
ZH,Egg,192,Inner-Vollikon 5,8132,3024482
ZH,Egg,192,Inner-Vollikon 22,8132,94672
ZH,Egg,192,Inner-Vollikon 12,8132,94668
ZH,Egg,192,Inner-Vollikon 9,8132,94671
ZH,Egg,192,Inner-Vollikon 2,8132,94552
ZH,Egg,192,Inner-Vollikon 11,8132,94669
ZH,Egg,192,Im Fischer 2,8132,94551
ZH,Lindau,176,Julius-Maggi-Strasse 35,8310,210181291
ZH,Lindau,176,Dorfstrasse 57,8310,200296853
ZH,Lindau,176,Im Gräbler 18,8310,210170283
ZH,Lindau,176,Im Gräbler 6,8310,210170290
ZH,Lindau,176,Julius-Maggi-Strasse 45,8310,210181294
ZH,Lindau,176,Julius-Maggi-Strasse 3,8310,210176488
ZH,Lindau,176,Im Gräbler 20,8310,210170282
ZH,Lindau,176,Julius-Maggi-Strasse 25,8310,210176485
ZH,Lindau,176,Dorfstrasse 40,8310,210175134
ZH,Lindau,176,Im Gräbler 12,8310,210170285
ZH,Pfäffikon,177,Oberhittnauerstrasse 37,8330,87679
ZH,Pfäffikon,177,Oberhittnauerstrasse 30,8330,87676
ZH,Pfäffikon,177,Heidenwiesstrasse 3,8330,210124535
ZH,Pfäffikon,177,Schönbüelstrasse 32b,8330,87659
ZH,Pfäffikon,177,Schönbüelstrasse 33,8330,201024336
ZH,Pfäffikon,177,Schönbüelstrasse 38,8330,87663
ZH,Pfäffikon,177,Schönbüelstrasse 34b,8330,87661
ZH,Pfäffikon,177,Schönbüelstrasse 34a,8330,87660
ZH,Pfäffikon,177,Schönbüelstrasse 35,8330,201020703
ZH,Pfäffikon,177,Schönbüelstrasse 31,8330,201024337
ZH,Russikon,178,Weidstrasse 6,8332,89532
ZH,Russikon,178,Bruderbüelstrasse 8,8332,88950
ZH,Russikon,178,Wilhofstrasse 19,8332,201020188
ZH,Russikon,178,Im Rebenacker 14,8332,88943
ZH,Russikon,178,Rebenweg 33,8332,88935
ZH,Russikon,178,Bruderbüelstrasse 14,8332,88955
ZH,Russikon,178,Im Bachtel 10,8332,88924
ZH,Russikon,178,Rebenweg 35,8332,88936
ZH,Russikon,178,Rebenweg 27a,8332,210126184
ZH,Russikon,178,Wilhofstrasse 14,8332,88866
ZH,Ottenbach,11,Im Gibel 1,8913,6105
ZH,Ottenbach,11,Im Gibel 2,8913,6104
ZH,Ottenbach,11,Rickenbach 5,8913,6096
ZH,Ottenbach,11,Rickenbach 3,8913,6093
ZH,Ottenbach,11,Jonentalstrasse 9,8913,6037
ZH,Ottenbach,11,Laamatt 1,8913,6078
ZH,Ottenbach,11,Steinernstrasse 20,8913,210219362
ZH,Ottenbach,11,Jonentalstrasse 8,8913,6036
ZH,Ottenbach,11,Steinernstrasse 22,8913,210219361
ZH,Ottenbach,11,Jonentalstrasse 6,8913,6035
ZH,Stäfa,158,Im Gsteig 13b,8713,3021114
ZH,Stäfa,158,Hermann Hiltbrunner-Weg 33,8713,77586
ZH,Stäfa,158,Im Gsteig 11,8713,77673
ZH,Stäfa,158,Im Gsteig 13a,8713,3021092
ZH,Stäfa,158,Im Gsteig 8,8713,210220343
ZH,Stäfa,158,Im Gsteig 10,8713,77672
ZH,Stäfa,158,Obere Mattstrasse 29,8713,78001
ZH,Stäfa,158,Obere Mattstrasse 31d,8713,210118102
ZH,Stäfa,158,Obere Mattstrasse 31a,8713,210118100
ZH,Stäfa,158,Obere Mattstrasse 20c,8713,210169595
ZH,Zumikon,160,Tobelweg 4,8126,80295
ZH,Zumikon,160,Rossacher 10,8126,210187105
ZH,Zumikon,160,Tobelgasse 6,8126,80320
ZH,Zumikon,160,Tobelweg 3,8126,80296
ZH,Zumikon,160,Wengi 4,8126,80280
ZH,Zumikon,160,Wengi 9,8126,80272
ZH,Zumikon,160,Tobelgasse 10,8126,80318
ZH,Zumikon,160,Wengi 3,8126,80269
ZH,Zumikon,160,Am Platz 3,8126,80313
ZH,Zumikon,160,Am Platz 4,8126,80312
ZH,Illnau-Effretikon,296,Rietstrasse 14,8307,84463
ZH,Illnau-Effretikon,296,Im Butzwil 10,8307,2302828
ZH,Illnau-Effretikon,296,Rietstrasse 18,8307,84466
ZH,Illnau-Effretikon,296,Nauenstrasse 10,8307,84454
ZH,Illnau-Effretikon,296,Nauenstrasse 16,8307,84457
ZH,Illnau-Effretikon,296,Rietstrasse 12,8307,84462
ZH,Illnau-Effretikon,296,Nauenstrasse 24,8307,84461
ZH,Illnau-Effretikon,296,Nauenstrasse 20,8307,84459
ZH,Illnau-Effretikon,296,Rietstrasse 19,8307,2302748
ZH,Illnau-Effretikon,296,Rietstrasse 20,8307,84467
ZH,Mönchaltorf,196,In der Waldau 1,8617,98504
ZH,Mönchaltorf,196,Neumüli 1,8617,98502
ZH,Mönchaltorf,196,Usterstrasse 71,8617,98319
ZH,Mönchaltorf,196,Sternenweg 4,8617,3135896
ZH,Mönchaltorf,196,Sternenweg 8,8617,201026985
ZH,Mönchaltorf,196,Sternenweg 19,8617,201000802
ZH,Mönchaltorf,196,Sternenweg 6,8617,200289954
ZH,Mönchaltorf,196,Sternenweg 13,8617,210042555
ZH,Mönchaltorf,196,Usterstrasse 36,8617,98322
ZH,Mönchaltorf,196,Usterstrasse 38,8617,98323
ZH,Hombrechtikon,153,Schlatt 6,8714,210171641
ZH,Hombrechtikon,153,Schlatt 4b,8714,2294394
ZH,Hombrechtikon,153,Schürwis 1,8714,70386
ZH,Hombrechtikon,153,Schlatt 26,8714,210190932
ZH,Hombrechtikon,153,Schlatt 8,8714,3020556
ZH,Hombrechtikon,153,Schlatt 22,8714,210198749
ZH,Hombrechtikon,153,Schlatt 14,8714,70383
ZH,Hombrechtikon,153,Schlatt 18,8714,2294327
ZH,Hombrechtikon,153,Schlatt 12,8714,70384
ZH,Hombrechtikon,153,Schlatt 4a,8714,2294395
ZH,Hittnau,173,Balchenstalstrasse 41,8335,84436
ZH,Hittnau,173,Balchenstalstrasse 28,8335,84437
ZH,Hittnau,173,Balchenstalstrasse 10,8335,201007164
ZH,Hittnau,173,Pfäffikerstrasse 54,8335,84157
ZH,Hittnau,173,Knup 1,8335,84382
ZH,Hittnau,173,Knup 2,8335,84383
ZH,Hittnau,173,Haselweid 1,8335,84011
ZH,Hittnau,173,Luppmenweg 17,8335,2302232
ZH,Hittnau,173,Luppmenweg 19,8335,2302233
ZH,Hittnau,173,Dürstelenstrasse 78,8335,210121862
ZH,Maur,195,Neubruchstrasse 18,8127,97536
ZH,Maur,195,Neubruchstrasse 11,8127,97530
ZH,Maur,195,Neubruchstrasse 13,8127,97532
ZH,Maur,195,Neubruchstrasse 5,8127,97525
ZH,Maur,195,Neubruchstrasse 8,8127,201025872
ZH,Maur,195,Winkelweg 11,8127,3024926
ZH,Maur,195,Langacherstrasse 16a,8127,201025848
ZH,Maur,195,Winkelweg 15,8127,3024986
ZH,Maur,195,Langacherstrasse 20,8127,97544
ZH,Maur,195,Langacherstrasse 14,8127,97538
ZH,Weisslingen,180,Farzelweg 9.1,8484,2306115
ZH,Weisslingen,180,Schwendi 13,8486,89958
ZH,Weisslingen,180,Lendikon 44,8484,90005
ZH,Weisslingen,180,Lendikon 14,8484,90014
ZH,Weisslingen,180,Lendikon 39,8484,90062
ZH,Weisslingen,180,Lendikon 49,8484,2306106
ZH,Weisslingen,180,Lendikon 53,8484,90063
ZH,Weisslingen,180,Lendikerstrasse 58,8484,90226
ZH,Weisslingen,180,Lendikerstrasse 56b,8484,191983008
ZH,Weisslingen,180,Rebberg 17,8484,210198280
ZH,Oetwil am See,157,Geerenstöck 5,8618,76721
ZH,Oetwil am See,157,Willikon 56,8618,201023158
ZH,Oetwil am See,157,Willikon 75,8618,76709
ZH,Oetwil am See,157,Willikon 54,8618,201023156
ZH,Oetwil am See,157,Willikon 78,8618,76712
ZH,Oetwil am See,157,Willikon 90,8618,76698
