canton,municipality,bfs_code,address,plz,buildingGroundArea_sqm,grossInvest_CHF,subsidies_CHF,netInvest_CHF,paybackTime_years,producedKwhYear_kWh,selfConsumedKwhYear_kWh,selfConsumptionPct_pct,gridFeedinKwhYear_kWh
ZH,Schwerzenbach,197,Eichstrasse 5,8603,215.30,69400.00,13695.00,44564.00,9.223,44587.64,6013.58,13.487,38574.06
ZH,Schwerzenbach,197,Zielackerstrasse 8,8603,81.22,45300.00,8312.00,29590.40,10.663,26459.00,3174.97,12.000,23284.03
ZH,Schwerzenbach,197,Zielackerstrasse 12,8603,71.83,119600.00,23211.00,77111.20,10.586,76379.18,4946.76,6.477,71432.42
ZH,Schwerzenbach,197,Guntenbachstrasse 21,8603,202.09,24600.00,2930.00,17336.00,18.796,7646.23,1878.47,24.57,5767.76
ZH,Schwerzenbach,197,Zielackerstrasse 5c,8603,189.41,17100.00,1700.00,12320.00,20.24,5366.23,1102.95,20.55,4263.28
ZH,Schwerzenbach,197,Zielackerstrasse 7a,8603,98.82,18400.00,1917.00,13186.40,19.851,5902.14,1174.58,19.901,4727.56
ZH,Schwerzenbach,197,Zielackerstrasse 14,8603,69.96,14700.00,1310.00,10712.00,22.77,4175.60,879.68,21.07,3295.92
ZH,Schwerzenbach,197,Zielackerstrasse 1e,8603,469.61,14800.00,1322.00,10782.40,23.05,4171.56,870.00,20.86,3301.56
ZH,Schwerzenbach,197,Zielackerstrasse 5b,8603,189.41,14800.00,1322.00,10782.40,22.92,4167.74,886.82,21.28,3280.92
ZH,Schwerzenbach,197,Zielackerstrasse 5a,8603,0.00000,14800.00,1322.00,10782.40,22.92,4167.76,886.80,21.28,3280.96
ZH,Egg,192,Inner-Vollikon 10,8132,374.58,17200.00,1719.00,12384.80,20.12,5426.26,1113.33,20.52,4312.93
ZH,Egg,192,Balmholz 3,8132,245.85,28000.00,3482.00,19614.40,17.577,11173.62,1275.72,11.417,9897.91
ZH,Egg,192,Sunnenberg 5,8132,227.16,23300.00,2719.00,16464.80,21.09,7829.63,986.42,12.599,6843.21
ZH,Egg,192,Inner-Vollikon 22,8132,289.89,51900.00,10166.00,33387.20,9.827,32620.59,3680.74,11.283,28939.85
ZH,Egg,192,Inner-Vollikon 5,8132,153.20,27400.00,3393.00,19205.60,14.260,11115.56,2536.18,22.82,8579.38
ZH,Egg,192,Inner-Vollikon 12,8132,374.58,54100.00,10778.00,34657.60,9.505,34313.22,4247.42,12.378,30065.80
ZH,Egg,192,Inner-Vollikon 11,8132,374.58,17200.00,1719.00,12384.80,19.898,5476.49,1125.41,20.55,4351.08
ZH,Egg,192,Inner-Vollikon 9,8132,374.58,17200.00,1719.00,12384.80,19.909,5473.80,1124.78,20.55,4349.03
ZH,Egg,192,Im Fischer 2,8132,122.06,40200.00,6854.00,26676.80,13.290,20724.33,1717.05,8.285,19007.28
ZH,Egg,192,Inner-Vollikon 2,8132,536.70,27400.00,3393.00,19205.60,17.290,11130.35,1253.30,11.260,9877.05
ZH,Lindau,176,Im Gräbler 18,8310,118.26,38100.00,6279.00,25456.80,12.021,19739.90,2740.77,13.884,16999.13
ZH,Lindau,176,Julius-Maggi-Strasse 35,8310,113.11,57200.00,11385.00,36652.00,11.966,30373.55,3124.38,10.287,27249.17
